Client Sessions
Client Username,Client IP Address,Client MAC Address,Association Time,AP Name,AP MAC Address,Session Duration,Avg. Session Throughput (Kbps),Bytes Sent,Bytes Received,Disassociation Time
006124,172.24.0.41,d4:63:c6:eb:85:60,Fri Dec 08 16:25:08 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,<0.1,0,0,Fri Dec 08 16:30:08 BRST 2017
006124,172.24.0.41,d4:63:c6:eb:85:60,Fri Dec 08 12:59:42 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,3 hrs 25 min 25 sec,4.7,724677,6564346,Fri Dec 08 16:25:08 BRST 2017
006124,172.24.0.41,d4:63:c6:eb:85:60,Fri Dec 08 09:39:18 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,55 min 7 sec,<0.1,0,0,Fri Dec 08 10:34:25 BRST 2017
006124,172.24.0.41,d4:63:c6:eb:85:60,Fri Dec 08 09:29:16 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,<0.1,0,0,Fri Dec 08 09:34:16 BRST 2017
006124,172.24.0.41,d4:63:c6:eb:85:60,Fri Dec 08 07:18:59 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,2 hrs 10 min 17 sec,1.9,381939,1468230,Fri Dec 08 09:29:16 BRST 2017
006124,172.24.0.41,d4:63:c6:eb:85:60,Thu Dec 07 15:18:39 BRST 2017,P01-A01-AP1-Audit-Hall,78:da:6e:eb:b8:80,5 min 0 sec,0.4,4038,5106,Thu Dec 07 15:23:39 BRST 2017
006124,172.24.0.41,d4:63:c6:eb:85:60,Thu Dec 07 13:08:22 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,2 hrs 10 min 17 sec,9.8,969504,8568489,Thu Dec 07 15:18:39 BRST 2017
006124,172.24.0.41,d4:63:c6:eb:85:60,Thu Dec 07 10:33:06 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,15 min 1 sec,<0.1,0,0,Thu Dec 07 10:48:07 BRST 2017
006124,172.24.0.41,d4:63:c6:eb:85:60,Thu Dec 07 10:23:04 BRST 2017,P01-A01-AP1-Auditorio,78:da:6e:eb:9e:90,10 min 1 sec,2.2,103384,64204,Thu Dec 07 10:33:06 BRST 2017
006124,172.24.0.41,d4:63:c6:eb:85:60,Thu Dec 07 10:13:03 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,10 min 1 sec,<0.1,0,0,Thu Dec 07 10:23:04 BRST 2017
