Grupo;Silhueta;DuracaodaSessao;Velocidademediadenavegacao
C2;0.734022;300.0;0.0
C1;0.640594;18636.0;7.3
C1;0.683535;9322.0;2.4
C1;0.631398;7210.0;2.2
C2;0.714239;2104.0;21.4
C2;0.734036;301.0;1.8
C2;0.734022;300.0;0.0
C2;0.734038;301.0;4.6
C2;0.707734;2406.0;4.4
C1;0.69049;12636.0;2.9
C2;0.734022;300.0;0.0
C2;0.719636;1804.0;16.0
C2;0.733278;601.0;0.9
C2;0.733281;601.0;4.4
C2;0.734039;301.0;2.6
C2;0.680157;3306.0;4.4
C1;0.694471;11423.0;6.5
C2;0.73403;300.0;4.8
C2;0.734022;300.0;0.0
C1;0.694456;11415.0;12.0
C2;0.734038;301.0;4.7
C1;0.509489;5712.0;1.3
C1;0.692388;12324.0;8.2
C2;0.734028;301.0;7.3
C2;0.734022;300.0;0.0
C1;0.690323;12657.0;2.7
C1;0.69366;12028.0;3.2
C2;0.733279;601.0;1.5
C2;0.633416;4207.0;2.1
C2;0.724152;1502.0;0.7
C2;0.733952;301.0;20.4
C2;0.731738;601.0;298.8
C2;0.72802;1203.0;62.8
C2;0.732371;303.0;212.8
C2;0.733127;602.0;97.3
C2;0.734032;300.0;3.7
C2;0.732931;301.0;152.8
C2;0.727379;301.0;621.9
C2;0.732647;301.0;183.8
C2;0.733276;601.0;0.0
C2;0.729016;301.0;499.5
C2;0.731073;905.0;100.5
C2;0.700029;2705.0;30.2
C2;0.632815;4216.0;0.6
C2;0.734009;301.0;10.9
C1;0.680703;9039.0;4.1
C2;0.734039;301.0;2.4
C2;0.734022;300.0;0.0
C2;0.69102;3005.0;15.4
C2;0.734013;300.0;8.9
C1;0.669422;8419.0;2.4
C2;0.731215;902.0;1.7
C2;0.611045;4510.0;2.0
C2;0.73404;301.0;3.2
C2;0.734035;306.0;0.0
C1;0.597879;6609.0;5.8
C2;0.73404;301.0;3.3
C1;0.694373;11729.0;0.9
C2;0.734022;300.0;0.0
C2;0.734028;300.0;5.6
C2;0.734022;300.0;0.0
C2;0.551903;5113.0;0.9
C2;0.734039;301.0;2.6
C2;0.707733;2406.0;2.3
C2;0.73403;300.0;4.9
C2;0.734022;300.0;0.0
C2;0.734038;301.0;2.3
C1;0.643885;7517.0;0.7
C2;0.731216;902.0;2.6
C2;0.552139;5111.0;1.1
C2;0.73404;301.0;3.1
C1;0.575616;6314.0;1.9
C2;0.733272;602.0;0.6
C2;0.690982;3006.0;0.8
C2;0.733753;301.0;49.7
C1;0.679665;13815.0;1.0
C2;0.734042;302.0;4.8
C2;0.73122;901.0;0.0
C2;0.734031;300.0;2.4
C2;0.731216;902.0;2.4
C1;0.54708;6013.0;11.3
C2;0.719615;1805.0;6.2
C2;0.714212;2105.0;1.7
C2;0.734022;300.0;0.0
C2;0.680236;3304.0;5.2
C2;0.58445;4809.0;0.6
C2;0.667031;3607.0;2.0
C2;0.728027;1202.0;0.3
C1;0.546976;6012.0;0.2
C1;0.68046;9021.0;1.5
C2;0.734022;300.0;0.0
