ClientUsername,ClientIPAddress,ClientMACAddress,AssociationTime,APName,APMACAddress,SessionDuration,AvgSessionThroughputKbps,BytesSent,BytesReceived,DisassociationTime,TotalTime,Clusters
3981,172.24.1.1,f4:f5:24:eb:af:ec,Thu Nov 30 16:11:11 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,10 min 0 sec,0,0,0,Thu Nov 30 16:21:11 BRST 2017,600.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Thu Nov 30 15:56:10 BRST 2017,P01-A05-AP2-SMA,78:da:6e:e8:65:d0,15 min 1 sec,0,0,0,Thu Nov 30 16:11:11 BRST 2017,901.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Thu Nov 30 15:51:09 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,9.9,122249,247998,Thu Nov 30 15:56:10 BRST 2017,301.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Thu Nov 30 15:26:07 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,25 min 2 sec,0,4188,1991,Thu Nov 30 15:51:09 BRST 2017,1502.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Thu Nov 30 15:21:06 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,0,0,Thu Nov 30 15:26:07 BRST 2017,301.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Thu Nov 30 15:16:05 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,156,244,Thu Nov 30 15:21:06 BRST 2017,301.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Thu Nov 30 15:06:04 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,0,0,Thu Nov 30 15:11:04 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Thu Nov 30 14:46:02 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,20 min 2 sec,6.5,381028,589161,Thu Nov 30 15:06:04 BRST 2017,1202.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Thu Nov 30 14:41:01 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,8.0,146128,153139,Thu Nov 30 14:46:02 BRST 2017,301.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Thu Nov 30 14:00:55 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,40 min 5 sec,1.0,146128,153139,Thu Nov 30 14:41:01 BRST 2017,2406.0,0
