ClientUsername,ClientIPAddress,ClientMACAddress,AssociationTime,APName,APMACAddress,SessionDuration,AvgSessionThroughputKbps,BytesSent,BytesReceived,DisassociationTime,TotalTime,Clusters
3981,172.24.1.23,f4:f5:24:eb:af:ec,Tue Oct 31 16:10:07 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,0,0,0,Tue Oct 31 16:15:07 BRST 2017,300.0,0
3981,172.24.1.23,f4:f5:24:eb:af:ec,Tue Oct 31 16:05:06 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,0,0,Tue Oct 31 16:10:07 BRST 2017,301.0,0
3981,172.24.1.23,f4:f5:24:eb:af:ec,Tue Oct 31 16:00:05 BRST 2017,P01-A05-AP2-SMA,78:da:6e:e8:65:d0,5 min 1 sec,121.4,2557871,2017389,Tue Oct 31 16:05:06 BRST 2017,301.0,0
3981,172.24.1.23,f4:f5:24:eb:af:ec,Tue Oct 31 15:55:04 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,288.4,6143409,4695469,Tue Oct 31 16:00:05 BRST 2017,301.0,0
3981,172.24.1.23,f4:f5:24:eb:af:ec,Tue Oct 31 15:50:04 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,14.7,314788,237517,Tue Oct 31 15:55:04 BRST 2017,300.0,0
3981,172.24.1.23,f4:f5:24:eb:af:ec,Tue Oct 31 15:40:02 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,10 min 1 sec,0,0,0,Tue Oct 31 15:50:04 BRST 2017,602.0,0
3981,172.24.1.23,f4:f5:24:eb:af:ec,Tue Oct 31 15:30:01 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,10 min 1 sec,63.0,2699496,2036718,Tue Oct 31 15:40:02 BRST 2017,601.0,0
3981,172.24.1.23,f4:f5:24:eb:af:ec,Tue Oct 31 15:04:57 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,25 min 3 sec,0,0,0,Tue Oct 31 15:30:01 BRST 2017,1504.0,0
3981,172.24.1.23,f4:f5:24:eb:af:ec,Tue Oct 31 14:44:54 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,20 min 3 sec,87.3,5781528,7352524,Tue Oct 31 15:04:57 BRST 2017,1203.0,1
3981,172.24.1.23,f4:f5:24:eb:af:ec,Tue Oct 31 14:24:52 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,20 min 2 sec,35.3,2806197,2505096,Tue Oct 31 14:44:54 BRST 2017,1202.0,0
