Grupo;Silhueta;DuracaodaSessao;Velocidademediadenavegacao
C9;0.746274;300.0;0.0
C9;0.746274;300.0;0.0
C4;0.681002;300.0;82.3
C9;0.746274;300.0;0.0
C9;0.746274;300.0;0.0
C5;0.745296;601.0;0.5
C1;0.699429;7509.0;75.1
C2;0.748781;901.0;0.0
C9;0.745948;301.0;0.0
C9;0.740664;300.0;4.1
C9;0.744734;301.0;1.6
C9;0.743467;301.0;2.5
C3;0.667602;1503.0;73.6
C5;0.745297;601.0;0.0
C10;0.622516;3007.0;9.9
C9;0.745948;301.0;0.2
C9;0.746274;300.0;0.0
C9;0.745948;301.0;0.0
C9;0.746242;300.0;0.1
C7;0.5;4809.0;0.2
C2;0.748296;903.0;0.0
C9;0.746274;300.0;0.0
C5;0.745035;602.0;0.0
C9;0.743467;301.0;2.5
C9;0.746274;300.0;0.0
C5;0.744885;602.0;2.3
C9;0.745948;301.0;0.2
C9;0.744958;300.0;1.5
C5;0.745035;602.0;0.0
C9;0.746274;300.0;0.0
C5;0.745297;601.0;0.0
C11;0.686254;3909.0;5.1
C9;0.746274;300.0;0.0
C9;0.683473;301.0;22.5
C9;0.746146;300.0;0.3
C9;0.745948;301.0;0.0
C9;0.745641;300.0;0.9
C2;0.748781;901.0;0.0
C9;0.739851;301.0;4.5
C2;0.748745;902.0;0.0
C3;0.685605;1503.0;0.0
C5;0.745297;601.0;0.0
C10;0.681222;2406.0;11.0
C11;0.690707;3608.0;1.2
C9;0.745948;301.0;0.0
C9;0.746274;300.0;0.0
C3;0.665845;1804.0;0.0
C8;0.740706;1202.0;2.8
C10;0.723308;2706.0;0.0
C9;0.745948;301.0;0.0
C3;0.663707;1503.0;84.2
C9;0.746274;300.0;0.0
C2;0.748745;902.0;0.0
C9;0.746274;300.0;0.0
C3;0.685605;1503.0;0.0
C9;0.743996;300.0;2.2
C8;0.740935;1202.0;0.0
C9;0.746274;300.0;0.0
C2;0.748745;902.0;0.0
C1;0.687168;6614.0;117.7
C9;0.745948;301.0;0.0
C9;0.746274;300.0;0.0
C9;0.745302;301.0;1.1
C9;0.746274;300.0;0.0
C9;0.745948;301.0;0.0
C5;0.744943;600.0;1.7
C1;0.711818;6914.0;40.2
C9;0.745948;301.0;0.0
C10;0.680867;2405.0;14.8
C5;0.745297;601.0;0.0
C9;0.745948;301.0;0.0
C4;0.678008;300.0;73.8
C9;0.746274;300.0;0.0
C5;0.741543;601.0;11.0
C9;0.746274;300.0;0.0
C2;0.748407;900.0;0.0
C9;0.745948;301.0;0.0
C4;0.570254;300.0;52.2
C9;0.745948;301.0;0.0
C5;0.744964;600.0;0.0
C9;0.746274;300.0;0.0
C9;0.746274;300.0;0.0
C2;0.748407;900.0;0.0
C2;0.748771;901.0;0.1
C9;0.746274;300.0;0.0
C6;0.5;901.0;525.7
C3;0.684619;1501.0;0.9
C2;0.748781;901.0;0.0
C10;0.723311;2704.0;2.3
C9;0.705879;301.0;17.1
C5;0.74492;601.0;2.5
C9;0.745948;301.0;0.0
C10;0.723319;2706.0;1.1
C9;0.746146;300.0;0.3
C3;0.685178;1502.0;0.0
C9;0.745948;301.0;0.2
C8;0.741083;1203.0;1.5
C5;0.745297;601.0;0.0
C4;0.659813;301.0;65.9
C2;0.738696;902.0;20.7
C9;0.746274;300.0;0.0
C3;0.665968;1803.0;0.0
C4;0.64007;301.0;143.8
C11;0.569166;3306.0;9.7
C8;0.695919;1202.0;92.9
C3;0.665845;1804.0;0.0
C5;0.713728;602.0;66.6
C2;0.748736;902.0;0.1
C11;0.687473;3904.0;0.0
C5;0.708727;601.0;74.4
C3;0.623977;1503.0;169.9
C2;0.748781;901.0;0.0
C10;0.723211;2707.0;0.0
C5;0.745297;601.0;0.0
C8;0.741117;1203.0;1.0
C3;0.685605;1503.0;0.0
C9;0.745948;301.0;0.0
C5;0.745247;601.0;1.0
C9;0.746274;300.0;0.0
C9;0.672095;301.0;24.7
C3;0.685184;1502.0;1.8
C3;0.685178;1502.0;0.0
C5;0.744806;602.0;2.6
C9;0.746274;300.0;0.0
C8;0.740923;1203.0;0.0
C5;0.745297;601.0;0.0
C8;0.740935;1202.0;0.0
C2;0.748745;902.0;0.0
C5;0.745297;601.0;0.0
C9;0.745948;301.0;0.2
C9;0.743996;300.0;2.2
