Grupo;Silhueta;DuracaodaSessao;Velocidademediadenavegacao
C5;0.744209;600.0;0.0
C13;0.735374;901.0;0.0
C7;0.738834;301.0;9.9
C1;0.671969;1502.0;0.0
C7;0.746418;301.0;0.0
C7;0.746418;301.0;0.0
C7;0.746717;300.0;0.0
C1;0.656186;1202.0;6.5
C7;0.740731;301.0;8.0
C10;0.689234;2406.0;1.0
C7;0.746717;300.0;0.0
C7;0.746717;300.0;0.0
C5;0.744209;600.0;0.0
C7;0.746418;301.0;0.0
C7;0.746717;300.0;0.0
C5;0.744437;601.0;0.9
C7;0.746336;301.0;0.9
C13;0.625541;901.0;226.6
C7;0.746418;301.0;0.0
C11;0.666375;1803.0;60.1
C5;0.744109;601.0;2.2
C11;0.680402;2105.0;29.3
C7;0.746395;301.0;0.7
C1;0.657909;1202.0;0.5
C7;0.746717;300.0;0.0
C7;0.746694;300.0;0.2
C7;0.746717;300.0;0.0
C11;0.634171;1800.0;187.6
C7;0.746717;300.0;0.0
C7;0.746371;300.0;1.1
C7;0.746669;300.0;0.3
C5;0.744502;601.0;0.2
C7;0.746717;300.0;0.0
C7;0.746418;301.0;0.0
C5;0.744209;600.0;0.0
C7;0.746418;301.0;0.0
C7;0.745726;300.0;2.2
C1;0.671969;1502.0;0.0
C5;0.744496;601.0;0.0
C7;0.745923;300.0;1.9
C2;0.707301;3007.0;0.7
C7;0.746418;301.0;0.0
C4;0.658133;301.0;270.4
C7;0.746717;300.0;0.0
C7;0.746432;301.0;0.5
C7;0.740563;300.0;8.2
C7;0.746416;301.0;0.6
C7;0.746717;300.0;0.0
C5;0.744496;601.0;0.0
C7;0.744903;300.0;3.3
C7;0.746694;300.0;0.2
C7;0.746717;300.0;0.0
C7;0.746717;300.0;0.0
C7;0.746323;300.0;1.2
C7;0.746418;301.0;0.0
C7;0.746014;301.0;1.6
C1;0.657921;1202.0;0.0
C7;0.746368;301.0;0.8
C5;0.7445;601.0;0.3
C1;0.670759;1504.0;4.7
C11;0.66767;1804.0;55.5
C13;0.735442;902.0;0.8
C5;0.744496;601.0;0.0
C4;0.695061;301.0;193.6
C13;0.735374;901.0;0.0
C1;0.658406;1203.0;0.0
C1;0.657921;1202.0;0.0
C10;0.646188;2706.0;0.5
C5;0.741154;601.0;10.0
C7;0.746418;301.0;0.0
C12;0.696869;4209.0;0.0
C13;0.735441;902.0;0.5
C5;0.744496;601.0;0.0
C7;0.746717;300.0;0.0
C7;0.74644;301.0;0.4
C5;0.744209;600.0;0.0
C5;0.744496;601.0;0.0
C7;0.740659;300.0;8.1
C7;0.746717;300.0;0.0
C11;0.686604;2102.0;0.5
C7;0.746717;300.0;0.0
C5;0.744209;600.0;0.0
C11;0.669217;1801.0;31.6
C7;0.746717;300.0;0.0
C10;0.629367;2702.0;104.9
C7;0.746717;300.0;0.0
C6;0.684422;5408.0;61.4
C7;0.746418;301.0;0.0
C5;0.735142;601.0;23.8
C13;0.735374;901.0;0.0
C5;0.744209;600.0;0.0
C10;0.688679;2405.0;8.4
C5;0.744245;602.0;0.0
C5;0.72482;601.0;45.0
C4;0.698475;300.0;156.7
C7;0.704152;301.0;34.3
C5;0.670226;601.0;131.2
C5;0.744496;601.0;0.0
C13;0.735374;901.0;0.0
C13;0.586585;901.0;331.3
C11;0.685326;2105.0;0.0
C7;0.746717;300.0;0.0
C1;0.659125;1504.0;72.2
C5;0.744496;601.0;0.0
C4;0.700226;301.0;161.4
C7;0.746717;300.0;0.0
C5;0.744209;600.0;0.0
C13;0.735374;901.0;0.0
C12;0.516018;3603.0;3.0
C7;0.746418;301.0;0.0
C2;0.691613;3306.0;2.1
C7;0.745512;300.0;2.5
C7;0.746418;301.0;0.0
C7;0.608644;300.0;65.7
C12;0.697218;4208.0;3.1
C7;0.746717;300.0;0.0
C7;0.745078;301.0;3.0
C7;0.746717;300.0;0.0
C7;0.746368;301.0;0.8
C7;0.746418;301.0;0.0
C8;0.732818;7816.0;15.2
C7;0.746418;301.0;0.0
C7;0.607214;300.0;66.0
C7;0.746717;300.0;0.0
C7;0.746694;300.0;0.2
C5;0.744382;601.0;1.2
C1;0.656991;1201.0;0.0
C10;0.688062;2403.0;7.0
C11;0.686018;2103.0;6.0
C5;0.744496;601.0;0.0
C13;0.729059;901.0;18.3
C7;0.720223;301.0;24.7
C7;0.746717;300.0;0.0
C5;0.72968;601.0;35.4
C7;0.7369;301.0;11.7
C5;0.744228;602.0;1.3
C1;0.671552;1503.0;0.7
C7;0.746717;300.0;0.0
C7;0.746418;301.0;0.0
C5;0.744496;601.0;0.0
C5;0.742285;601.0;7.2
C7;0.746717;300.0;0.0
C7;0.744927;301.0;3.2
C5;0.744496;601.0;0.0
C7;0.746717;300.0;0.0
C7;0.746418;301.0;0.0
C7;0.746717;300.0;0.0
C6;0.684171;5412.0;1.3
C1;0.658406;1203.0;0.0
C7;0.746123;301.0;1.4
C7;0.745364;300.0;2.7
C7;0.746418;301.0;0.0
C4;0.680864;301.0;137.5
C7;0.746717;300.0;0.0
C7;0.746717;300.0;0.0
C10;0.646187;2706.0;0.6
C5;0.744496;601.0;0.0
C5;0.744245;602.0;0.0
C7;0.746717;300.0;0.0
C7;0.739954;301.0;8.8
C7;0.746418;301.0;0.0
C11;0.685725;2104.0;5.3
C7;0.746717;300.0;0.0
C7;0.746717;300.0;0.0
C5;0.721022;601.0;52.2
C5;0.744496;601.0;0.0
C7;0.746717;300.0;0.0
C6;0.720535;5111.0;0.7
C5;0.744245;602.0;0.0
C7;0.746172;301.0;1.3
C7;0.746717;300.0;0.0
C5;0.744496;601.0;0.0
C11;0.685353;2105.0;4.4
C7;0.746323;300.0;1.2
C5;0.744496;601.0;0.0
C11;0.685845;2104.0;0.0
C10;0.688105;2403.0;0.0
C13;0.734966;900.0;0.0
C7;0.746717;300.0;0.0
C5;0.744496;601.0;0.0
C13;0.733335;900.0;7.5
C7;0.746717;300.0;0.0
C7;0.746717;300.0;0.0
C1;0.657921;1202.0;0.0
C12;0.553374;4509.0;121.6
C7;0.746418;301.0;0.0
C1;0.665685;1503.0;42.3
C5;0.710257;602.0;72.0
C7;0.746717;300.0;0.0
C13;0.731046;902.0;13.9
C7;0.746717;300.0;0.0
C7;0.746608;300.0;0.5
C7;0.746172;301.0;1.3
C11;0.686265;2103.0;0.1
C7;0.746418;301.0;0.0
C1;0.657822;1202.0;1.2
C5;0.744476;601.0;0.6
C7;0.746217;301.0;1.2
C5;0.744077;601.0;2.3
C7;0.745772;301.0;2.0
C5;0.744496;601.0;0.0
C7;0.746418;301.0;0.0
C7;0.746271;300.0;1.3
