No.,Time,Source,Destination,Protocol,Length,Info
1373341,4876.889904,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1373343,4877.002079,192.168.0.2,104.6.66.102,UDP,1468,12236  >  37284 Len=1426
1373345,4877.0137780000005,192.168.0.2,104.6.66.102,UDP,1468,12236  >  37284 Len=1426
1373347,4877.059235,192.168.0.2,104.6.66.102,UDP,1468,12236  >  37284 Len=1426
1373351,4877.20885,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1373352,4877.208916,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1373353,4877.2089479999995,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1373354,4877.208975,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1373356,4877.209495,192.168.0.2,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
1373358,4877.21255,192.168.0.2,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
1373360,4877.213118,192.168.0.2,224.0.0.252,LLMNR,75,Standard query 0xd695 ANY DESKTOP-BNL0PME
1373364,4877.318136,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1373365,4877.318195000001,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1373366,4877.337767,192.168.0.2,113.193.151.171,UDP,1312,62257  >  50670 Len=1270
1373368,4877.3790070000005,192.168.0.2,104.6.66.102,UDP,1468,12236  >  37284 Len=1426
1373371,4877.389708,192.168.0.2,104.6.66.102,UDP,1468,12236  >  37284 Len=1426
1373372,4877.537818,192.168.0.2,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
1373374,4877.538088,192.168.0.2,104.6.66.102,UDP,94,62257  >  51466 Len=52
1373375,4877.538175,192.168.0.2,104.6.66.102,UDP,94,62257  >  51466 Len=52
1373377,4877.622697999999,192.168.0.2,224.0.0.252,LLMNR,75,Standard query 0xd695 ANY DESKTOP-BNL0PME
1373382,4877.628678,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1373383,4877.628729999999,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1373384,4877.628751,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1373385,4877.628772,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1373389,4877.660067,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1373390,4877.6601200000005,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1373392,4877.692873,192.168.0.2,104.6.66.102,UDP,1468,12236  >  37284 Len=1426
1373394,4877.704025999999,192.168.0.2,104.6.66.102,UDP,1468,12236  >  37284 Len=1426
1373395,4877.800655,192.168.0.2,239.192.152.143,UDP,161,6771  >  6771 Len=119
1373397,4877.844211,192.168.0.2,113.193.151.171,UDP,785,62257  >  50670 Len=743
1373398,4877.844273,192.168.0.2,113.193.151.171,UDP,785,62257  >  50670 Len=743
1373402,4877.935874,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1373403,4877.935933,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
