No.,Time,Source,Destination,Protocol,Length,Info,TBP
134566,454.30485899999996,192.168.0.2,64.4.54.254,TLSv1.2,252,Client Hello,0.0
134569,454.30916399999995,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4855525] Unknown Payload Type (0x3882) ,0.004304999999988013
134571,454.31024800000006,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4856608] Unknown Payload Type (0x3b6a) ,0.001084000000105334
134573,454.31720099999995,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4863561] Unknown Payload Type (0x3738) ,0.006952999999896292
134575,454.32766100000003,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4874021] Unknown Payload Type (0x1de2) ,0.010460000000080072
134578,454.32943600000004,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4875785] Unknown Payload Type (0x12d5) ,0.001775000000009186
134580,454.329501,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4875874] Unknown Payload Type (0x11dd) ,6.499999994957761e-05
134581,454.32953499999996,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4875910] Unknown Payload Type (0x10d2) ,3.399999997100167e-05
134582,454.32956900000005,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4875945] Unknown Payload Type (0x10d2) ,3.400000008468851e-05
134584,454.331596,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4877957] Unknown Payload Type (0x1806) ,0.0020269999999413812
134586,454.332692,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4879052] Unknown Payload Type (0x163f) ,0.0010960000000181935
134587,454.33274400000005,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4879118] Unknown Payload Type (0x163f) ,5.200000003924288e-05
134588,454.332782,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4879157] Unknown Payload Type (0x163f) ,3.799999996090264e-05
134590,454.336515,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4882875] Unknown Payload Type (0x57f) ,0.0037330000000110886
134591,454.33656799999994,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4882942] Unknown Payload Type (0x57f) ,5.299999992303128e-05
134592,454.336593,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4882968] Unknown Payload Type (0x57f) ,2.5000000050567905e-05
134595,454.36871500000007,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4915072] Unknown Payload Type (0x110) ,0.03212200000007215
134597,454.382818,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4929178] Unknown Payload Type (0x3481) ,0.014102999999920485
134599,454.386003,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4932363] Unknown Payload Type (0x3cc6) ,0.0031850000000304135
134601,454.39280999999994,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4939170] Unknown Payload Type (0x33d8) ,0.006806999999923846
134603,454.410783,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4957143] Unknown Payload Type (0x61c) ,0.01797300000004043
134606,454.41528700000003,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4961647] Unknown Payload Type (0x3314) ,0.00450400000005402
134608,454.420024,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4966384] Unknown Payload Type (0x4c0) ,0.004736999999977343
134610,454.421051,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4967411] Unknown Payload Type (0x821) ,0.0010269999999650281
134612,454.42664800000006,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4973009] Unknown Payload Type (0x39c2) ,0.005597000000079788
134614,454.43114,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4977499] Unknown Payload Type (0x321a) ,0.004491999999970631
134616,454.439575,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4985935] Unknown Payload Type (0x3d9e) ,0.008434999999963111
134618,454.44015599999994,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 4986515] Unknown Payload Type (0x3b67) ,0.0005809999999542015
134620,454.458193,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 5004549] Unknown Payload Type (0xf79) ,0.018037000000049375
134622,454.46501500000005,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 5011375] Unknown Payload Type (0x2bb) ,0.006822000000056505
134624,454.46670199999994,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 5013062] Unknown Payload Type (0x3006) ,0.001686999999890304
134626,454.46786,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 5014219] Unknown Payload Type (0x33d0) ,0.0011580000000321888
134628,454.491243,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 5037603] Unknown Payload Type (0x3b24) ,0.023383000000023912
134631,454.500005,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 5046365] Unknown Payload Type (0x143) ,0.008761999999990167
134632,454.500079,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 5046452] Unknown Payload Type (0x9a) ,7.400000004054164e-05
134635,454.505399,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 5051759] Unknown Payload Type (0xa0) ,0.005319999999983338
134637,454.506427,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3b) [Block ID: 63020 Packet ID: 5052788] Unknown Payload Type (0x346) ,0.0010279999999625034
