Length,TBP,Selected,Selected(1),Cluster,Silhouette,Selected(2)
361.0,9.99999883788405e-07,No,No,C2,0.7347815375236676,No
369.0,0.0021770000000742584,No,No,C2,0.734129509550971,No
371.0,0.0,No,No,C2,0.7338857396968613,No
359.0,1.0000001111620804e-06,No,No,C2,0.7348650134847682,No
305.0,0.19837600000005293,No,No,C2,0.7350255394912885,No
314.0,9.99999883788405e-07,No,No,C2,0.7352494868212185,No
361.0,0.0,No,No,C2,0.734781537510389,No
369.0,0.0,No,No,C2,0.7341295072226117,No
371.0,0.0,No,No,C2,0.7338857396968613,No
359.0,0.0,No,No,C2,0.7348650134674914,No
305.0,0.20083900000008725,No,No,C2,0.7350255848743453,No
314.0,0.0,No,No,C2,0.7352494867999576,No
361.0,0.0,No,No,C2,0.734781537510389,No
369.0,9.99999883788405e-07,No,No,C2,0.7341295072393822,No
371.0,0.0024250000001302396,No,No,C2,0.7338857419671116,No
359.0,9.99999883788405e-07,No,No,C2,0.7348650134847682,No
305.0,0.20002999999996973,No,No,C2,0.7350255739820246,No
314.0,9.99999883788405e-07,No,No,C2,0.7352494868212185,No
361.0,0.0,No,No,C2,0.734781537510389,No
369.0,0.0,No,No,C2,0.7341295072226117,No
371.0,1.0000001111620804e-06,No,No,C2,0.7338857397135231,No
359.0,0.0013369999999213178,No,No,C2,0.7348650210355056,No
54.0,18.459899000000178,No,No,C2,0.7203767273697868,No
54.0,141.66481299999987,No,No,C2,0.7177694763115022,No
54.0,151.42937700000016,No,No,C2,0.7171012253325928,No
54.0,134.86569599999984,No,No,C2,0.7181754737134819,No
54.0,128.302193,No,No,C2,0.71847032371032,No
54.0,134.65367600000013,No,No,C2,0.7181865341814369,No
301.0,38.85134800000015,No,No,C2,0.7336905535873378,No
66.0,0.002533999999968728,No,No,C2,0.7210107964778567,No
54.0,0.002334000000018932,No,No,C2,0.7201422741511736,No
290.0,0.003270999999585911,No,No,C2,0.734280115268872,No
1514.0,0.0,No,No,C1,0.5,No
587.0,1.0000001111620804e-06,No,No,C2,0.6848232645947054,No
54.0,0.002203000000235989,No,No,C2,0.7201422709897232,No
54.0,91.052054,No,No,C2,0.7196752694710443,No
305.0,30.14400199999977,No,No,C2,0.7342636427994494,No
314.0,0.002437999999983731,No,No,C2,0.73524951143106,No
361.0,0.0,No,No,C2,0.734781537510389,No
369.0,0.0,No,No,C2,0.7341295072226117,No
371.0,0.0,No,No,C2,0.7338857396968613,No
